biotrade,comtrade_apicall,comtrade_human,comtrade_machine,eurostat_bulk,eurostat_comext,faostat_production,faostat_trade,faostat_land,faostat_country,faostat_food_balance,world_bank
id,,,,,,,,,,,
dataset_code,datasetcode,,,,,,,,,,
classification_search_code,classificationsearchcode,,,,,,,,,,
classification,classificationcode,classification,pfcode,,,,,,,,
is_original_classification,isoriginalclassification,,,,,,,,,,
frequency,freqcode,,,,,,,,,,
ref_date,refperiodid,,,,,,,,,,
year,refyear,year,yr,,,year,year,year,,year,year
month,refmonth,,,,,,,,,,
period,period,period,period,,period,year_code,year_code,year_code,,year_code,
period_description,,period_desc,perioddesc,,,,,,,,
aggregate_level,,aggregate_level,aggrlevel,,,,,,,,
is_reported,isreported,,,,,,,,,,
is_aggregated,isaggregate,,,,,,,,,,
is_leaf,,is_leaf_code,isleaf,,,,,,,,
flow_code,flowcode,trade_flow_code,rgcode,,flow,,,,,,
flow,,trade_flow,rgdesc,,,,,,,,
reporter_code,reportercode,reporter_code,rtcode,,declarant,area_code,reporter_country_code,area_code,,area_code,country_code
reporter,,reporter,rttitle,,,area,reporter_countries,area,,area,country_name
reporter_iso,,reporter_iso,rt3iso,,,,,,,,
partner_code,partnercode,partner_code,ptcode,,partner,,partner_country_code,,,,
partner,,partner,pttitle,,,,partner_countries,,,,
partner_iso,,partner_iso,pt3iso,,,,,,,,
product_code,cmdcode,commodity_code,cmdcode,,product_nc,item_code,item_code,,,item_code,
product,,,,,,item,item,,,item,
product_description,,commodity,cmddesce,,,,,,,,
product_type,typecode,,,,,,,,,,
item_code,,,,,,,,item_code,,,
item,,,,,,,,item,,,
unit_code,qtyunitcode,qty_unit_code,qtcode,,,,,,,,
unit,,qty_unit,qtdesc,,,unit,unit,unit,,unit,unit_of_measure
quantity,qty,qty,qtaltcode,,sup_quantity,,,,,,
is_quantity_estimated,isqtyestimated,,,,,,,,,,
weight,,,,,quantity_ton,,,,,,
net_weight,netwgt,netweight_kg,netweight,,,,,,,,
is_net_weight_estimated,isnetwgtestimated,,,,,,,,,,
gross_weight,grosswgt,gross_weight_kg,grossweight,,,,,,,,
is_gross_weight_estimated,isgrosswgtestimated,,,,,,,,,,
trade_value,primaryvalue,trade_value_usd,tradevalue,,value_1000ecu,,,,,,
cif_value,cifvalue,cif_trade_value_usd,cifvalue,,,,,,,,
fob_value,fobvalue,fob_trade_value_usd,fobvalue,,,,,,,,
flag,legacyestimationflag,flag,estcode,,,flag,flag,flag,,flag,
domain_code,,,,,,domain_code,,domain_code,,,
domain,,,,,,domain,,domain,,,
element_code,,,,,,element_code,element_code,element_code,,element_code,
element,,,,,,element,element,element,,element,
value,,,,,,value,value,value,,value,value
area_harvested,,,,,,area_harvested,,area_harvested,,,
yield,,,,,,yield,,yield,,,
production,,,,,,production,,production,,,
export_quantity,,,,,,export_quantity,export_quantity,export_quantity,,,
export_value,,,,,,export_value,export_value,export_value,,,
import_quantity,,,,,,import_quantity,import_quantity,import_quantity,,,
import_value,,,,,,import_value,import_value,import_value,,,
partner_2_code,partner2code,2nd_partner_code,ptcode2,,,,,,,,
partner_2,,2nd_partner,pttitle2,,,,,,,,
partner_2_iso,,2nd_partner_iso,pt3iso2,,,,,,,,
custom_proc_code,customscode,customs_proc_code,cstcode,,,,,,,,
custom_proc,,customs,cstdesc,,,,,,,,
mode_of_supply_code,moscode,,,,,,,,,,
mode_of_transport_code,motcode,mode_of_transport_code,motcode,,,,,,,,
mode_of_transport,,mode_of_transport,motdesc,,,,,,,,
alt_qty_unit_code,altqtyunitcode,alt_qty_unit_code,qtaltdesc,,,,,,,,
alt_qty_unit,,alt_qty_unit,tradequantity,,,,,,,,
alt_qty,altqty,alt_qty,altquantity,,,,,,,,
is_alt_quantity_estimated,isaltqtyestimated,,,,,,,,,,
continent_code,,,,,,,,,continent_code,,
continent,,,,,,,,,continent,,
sub_continent_code,,,,,,,,,sub_continent_code,,
sub_continent,,,,,,,,,sub_continent,,
eu27,,,,,,,,,eu27,,
country_code,,,,,,,,,faost_code,,
country_name,,,,,,,,,fao_table_name,,
indicator_code,,,,,,,,,,,indicator_code
indicator_name,,,,,,,,,,,indicator_name
