comtrade_code,faostat_code
010221,866
010229,866
010310,1034
010410,976
010420,1016
010511,1057
010594,1057
020110,867
020120,867
020130,870
020210,867
020220,867
020230,870
020311,1035
020312,1035
020321,1035
020322,1035
020410,977
020421,977
020422,977
020423,977
020430,977
020441,977
020442,977
020443,977
020450,1017
020610,868
020621,868
020622,868
020629,868
020630,1036
020641,1036
020649,1036
021090,1164
040210,898
040221,897
040229,897
040490,909
040811,1064
040819,1063
040891,1064
040899,1063
040900,1182
041000,1232
050100,1293
050210,1293
050290,1293
050510,1293
050590,1293
050610,1293
050690,1293
050710,1293
050790,1293
051000,1293
051110,1293
051199,1293
060110,1293
060120,1293
060210,1293
060220,1293
060230,1293
060240,1293
060290,1293
060311,1293
060312,1293
060313,1293
060314,1293
060410,1293
060491,1293
060499,1293
070110,116
070190,116
070200,388
070320,406
070390,407
070410,393
070420,358
070490,358
070511,372
070519,372
070521,372
070529,372
070610,426
070690,463
070700,397
070810,417
070890,420
070920,367
070940,463
070951,449
070959,449
070970,373
071010,118
071021,473
071022,473
071029,473
071030,473
071040,447
071090,473
071120,262
071140,474
071151,474
071159,474
071190,474
071220,469
071231,450
071232,450
071233,450
071239,450
071290,469
071310,187
071320,191
071340,201
071420,122
080211,221
080212,231
080221,225
080222,233
080231,222
080232,232
080240,220
080250,223
080260,234
080410,577
080510,490
080520,495
080550,497
080590,512
080610,560
080620,561
080711,567
080720,600
080810,515
080910,526
080940,536
081010,544
081060,603
081110,623
081120,623
081210,623
081310,527
081320,537
081330,620
081400,623
090111,656
090112,657
090121,657
090122,657
090130,660
090140,658
090190,658
090210,667
090220,667
090230,667
090240,667
090300,671
090411,687
090412,687
090420,689
090500,692
090611,693
090619,693
090620,693
090700,698
090810,702
090820,702
090830,702
090910,711
090920,711
090930,711
090940,711
090950,711
091010,720
091020,723
091030,723
091091,723
091099,723
100110,15
100190,15
100200,71
100300,44
100400,75
100610,27
100620,28
100640,32
100700,83
100810,89
100820,79
110100,16
110210,72
110220,58
110311,16
110313,58
110412,76
110423,113
110510,117
110520,117
110610,212
110630,624
110710,49
110720,49
110811,23
110812,64
110813,119
110814,129
110819,34
110900,24
120100,236
120110,236
120190,236
120210,242
120220,243
120300,251
120400,333
120510,270
120590,270
120600,267
120710,256
120720,329
120740,289
120750,292
120791,296
120810,343
120890,343
121010,677
121020,677
121220,1293
121300,635
121410,862
130120,1291
130190,1292
130211,1293
130212,1293
130213,1293
130220,1293
130231,1293
130232,1293
130239,1293
140110,1293
140420,770
140490,1293
150210,1225
150290,869
150300,1221
150410,1223
150420,1223
150430,1223
150500,994
150600,1168
150710,237
150790,237
150810,244
150890,244
150910,261
150990,340
151000,274
151110,257
151190,257
151221,331
151229,331
151311,252
151319,252
151321,258
151329,258
151411,271
151419,271
151511,334
151519,334
151521,60
151529,60
151530,266
151550,290
151710,1242
151790,1241
151800,1274
152110,1296
160100,874
160210,877
160231,1061
160232,1061
160239,1061
160241,1042
160242,1042
160249,1042
160250,875
160290,1172
160300,873
170211,173
170219,173
170250,154
170310,165
170390,165
170410,168
170490,168
180100,661
180200,663
180310,662
180320,665
180400,664
180500,665
180610,666
180620,666
180631,666
180632,666
180690,666
190120,114
190211,18
190219,18
190220,1232
190230,1232
190240,1232
190410,41
190420,41
190490,41
190510,20
190520,22
190531,22
190532,22
200110,471
200210,392
200290,391
200310,451
200320,451
200410,475
200510,476
200520,472
200540,472
200551,472
200559,472
200560,472
200570,262
200580,448
200591,472
200599,472
200600,625
200710,626
200791,623
200819,235
200820,575
200830,623
200840,623
200850,623
200860,623
200870,623
200880,623
200892,623
200912,491
200919,492
200921,509
200929,510
200941,576
200949,580
200950,390
200961,562
200969,562
200971,518
200979,519
210110,659
210111,659
210112,659
210120,672
210130,658
210210,1232
210220,1232
210230,1232
210310,239
210320,1232
210330,295
210390,240
210410,1232
210420,1232
210500,910
210690,1232
220110,631
220190,631
220210,633
220290,633
220410,564
220430,563
220510,565
220590,565
220710,632
220720,632
220810,634
220820,634
220830,634
220840,634
220850,634
220860,634
220870,634
220890,634
220900,1232
230120,1174
230210,59
230230,17
230250,213
230310,63
230330,654
230400,238
230500,245
230610,332
230620,335
230630,269
230641,272
230649,272
230650,253
230660,259
230670,61
230910,843
240110,826
240120,826
240130,826
240210,829
240220,828
240310,831
240391,831
240399,831
281410,2814
281420,2814
283421,283421
285200,1422
290315,1423
290331,1424
290351,1425
290352,1426
290362,1427
290811,1428
290819,1429
291010,1432
291040,1433
291536,1434
291636,1435
291818,1436
291891,1437
292011,1438
292412,1439
292521,1440
293050,1441
310100,1401
310590,1397
330112,753
330113,753
330119,753
330125,753
330130,753
330190,753
350110,917
350211,916
350219,916
382311,1276
382312,1276
382313,1276
382319,1276
400110,836
400121,837
400122,837
400129,837
400130,839
410110,928
410120,928
410121,920
410122,920
410129,920
410130,919
410150,920
410190,920
410221,998
411520,1217
430110,1195
430130,1002
430160,1195
430190,1195
500100,1185
500200,1186
510111,987
510119,987
510121,988
510129,988
510130,988
510211,1030
510310,1009
510320,1009
510330,1009
510400,1007
510510,1008
510521,1008
510531,1008
510539,1008
510540,1008
520210,769
520291,769
520299,769
520300,768
530110,771
530121,773
530129,773
530130,774
530210,777
530290,777
843221,2455016
843229,2455016
843280,2455016
843290,2455016
843311,2455014
843319,2455014
843320,2455014
843330,2455014
843359,2455014
843360,2455014
843390,2455014
843420,2455015
843490,2455015
843510,2455017
843590,2455017
843610,2455017
843621,2455017
843629,2455017
843680,2455017
843691,2455017
843699,2455017
843710,2455014
100510,56
100590,56
110430,57
150100,1043
151491,271
151499,271
151610,1243
151620,1243
152190,1183
152200,1277
160220,1060
170112,162
170230,172
170240,172
170260,166
170290,167
190190,115
200899,623
220300,51
220421,564
230110,1173
230320,169
230700,653
410210,999
510219,1218
510220,1031
520100,767
530310,780
530390,780
440710,1632
440711,1632
440712,1632
440713,1632
440714,1632
440719,1632
440721,1633
440722,1633
440723,1633
440724,1633
440725,1633
440726,1633
440727,1633
440728,1633
440729,1633
440791,1633
440792,1633
440793,1633
440794,1633
440795,1633
440796,1633
440797,1633
440799,1633
4401,1864
4402,1630
4403,1865
4407,1872
4408,1634
4411,1874
4412,1640
4702,1656
4703,1662
4704,1663
441010,1697
441011,1697
441012,1606
441019,1697
441021,1697
441029,1697
441031,1697
441032,1697
441033,1697
441039,1697
441090,1697
