product,product_level_1,product_level_2,product_level_3,product_level_4
mechanical_and_semi_chemical_wood_pulp,wood_pulp,total_fibre_furnish,pulp_for_paper,
mechanical_wood_pulp,wood_pulp,total_fibre_furnish,pulp_for_paper,
semi_chemical_wood_pulp,wood_pulp,total_fibre_furnish,pulp_for_paper,
chemical_wood_pulp_sulphate_unbleached,wood_pulp,total_fibre_furnish,pulp_for_paper,chemichal_wood_pulp
chemical_wood_pulp_sulphate_bleached,wood_pulp,total_fibre_furnish,pulp_for_paper,chemichal_wood_pulp
chemical_wood_pulp_sulphite,wood_pulp,total_fibre_furnish,pulp_for_paper,chemichal_wood_pulp
chemical_wood_pulp_sulphite_unbleached,wood_pulp,total_fibre_furnish,pulp_for_paper,chemichal_wood_pulp
chemical_wood_pulp_sulphite_bleached,wood_pulp,total_fibre_furnish,pulp_for_paper,chemichal_wood_pulp
dissolving_wood_pulp,wood_pulp,,,
pulp_from_fibres_other_than_wood,,total_fibre_furnish,pulp_for_paper,
recovered_paper,,total_fibre_furnish,,
newsprint,paper_and_paperboard,graphics_papers,,
printing_and_writing_papers_uncoated_mechanical,paper_and_paperboard,graphics_papers,printing_and_writing_papers,
printing_and_writing_papers_uncoated_wood_free,paper_and_paperboard,graphics_papers,printing_and_writing_papers,
printing_and_writing_papers_coated,paper_and_paperboard,graphics_papers,printing_and_writing_papers,
household_and_sanitary_papers,paper_and_paperboard,,,
wrapping_and_packaging_paper_and_paperboard_1961_1997,paper_and_paperboard,packaging_paper_and_paperboard,,
case_materials,paper_and_paperboard,packaging_paper_and_paperboard,,
cartonboard,paper_and_paperboard,packaging_paper_and_paperboard,,
wrapping_papers,paper_and_paperboard,packaging_paper_and_paperboard,,
other_papers_mainly_for_packaging,paper_and_paperboard,packaging_paper_and_paperboard,,
other_paper_and_paperboard_n_e_s_not_elsewhere_specified,paper_and_paperboard,,,
plywood,,,,
particle_board_and_osb_1961_1994,,,,
particle_board,,,,
osb,,,,
hardboard,,,,
mdf_hdf,,,,
other_fibreboard,,,,
fibreboard_compressed_1961_1994,,,,
