primary_product_code,parent_product_code,child_product_code,bp_flag
"0102","0102","0201",0
"0102","0102","0202",0
"0102","0102","020610",0
"0102","0102","020622",0
"0102","0102","020629",0
"0102","0201","160250",0
"0102","0102","04101",0
"0102","04101","04104",0
"0102","04101","04107",0
"18010000","18010000","18020000",0
"18010000","18010000","1803",0
"18010000","1803","18040000",0
"18010000","1803","18050000",0
"18010000","18050000","1806",0
"120710","120710","1511",0
"120710","120710","151321",1
"120710","120710","151329",1
"120710","120710","230660",1
"120710","151321","382319",0
"120710","151321","291590",0
"120710","151321","382370",0
"120710","151321","382311",0
"120710","151321","290545",0
"120710","151321","291570",0
"120710","151321","382312",0
"1201","1201","120810",0
"1201","1201","1507",1
"1201","1201","2304",1
"4001","4001","4005",0
"4001","4001","4006",0
"4001","4001","4007",0
"4001","4007","4008",0
"4001","4007","4010",0
"4001","4007","4011",0
"4001","4007","4012",0
"4001","4007","4013",0
"4001","4007","4015",0
"4001","4007","4016",0
"4001","4007","4017",0
"4401","4401","4402",0
"4403","4403","4404",0
"4403","4403","4405",0
"4403","4403","4406",0
"4403","4403","4407",0
"4403","4403","4408",0
"4403","4403","4409",0
"4403","4403","4410",0
"4403","4403","4411",0
"4403","4403","4412",0
"4403","4403","44130000",0
"4403","4403","4414",0
"4403","4403","4415",0
"4403","4403","44160000",0
"4403","4403","4417",0
"4403","4403","4418",0
"4403","4403","4419",0
"4403","4403","4420",0
"4403","4403","4421",0
"4403","4403","47",0
"4403","47","48",0
"4403","4403","9401",0
"4403","4403","940330",0
"4403","4403","940340",0
"4403","4403","94035000",0
"4403","4403","940360",0
"4403","4403","94039030",0
"4403","4407","94061000",0
"4403","48","4900",0
