comtrade_code,product_aggregate,faostat_code_agg
4401,Wood Fuel,1864
4402,Wood Fuel,1864
4403,Industrial Roundwood,1865
4404,Other,0
4405,Other,0
4406,Other,0
4407,Sawnwood,1872
4408,Wood Panels,1873
4409,Other,0
4410,Wood Panels,1873
4411,Wood Panels,1873
4412,Wood Panels,1873
4413,Wood Panels,1873
4414,Other,0
4415,Other,0
4416,Other,0
4417,Other,0
4418,Other,0
4419,Other,0
4420,Other,0
4421,Other,0
4701,Pulp,1875
4702,Pulp,1875
4703,Pulp,1875
4704,Pulp,1875
4705,Pulp,1875
4801,Paper and Paperboard,1876
4802,Paper and Paperboard,1876
4803,Paper and Paperboard,1876
4804,Paper and Paperboard,1876
4805,Paper and Paperboard,1876
4806,Paper and Paperboard,1876
4807,Paper and Paperboard,1876
4808,Paper and Paperboard,1876
4809,Paper and Paperboard,1876
4810,Paper and Paperboard,1876
4811,Paper and Paperboard,1876
4812,Paper and Paperboard,1876
4813,Paper and Paperboard,1876
4814,Paper and Paperboard,1876
4816,Paper and Paperboard,1876
4817,Paper and Paperboard,1876
4818,Paper and Paperboard,1876
4819,Paper and Paperboard,1876
4820,Paper and Paperboard,1876
4821,Paper and Paperboard,1876
4822,Paper and Paperboard,1876
4823,Paper and Paperboard,1876
4901,Paper and Paperboard,1876
4902,Paper and Paperboard,1876
4903,Paper and Paperboard,1876
4904,Paper and Paperboard,1876
4905,Paper and Paperboard,1876
4906,Paper and Paperboard,1876
4907,Paper and Paperboard,1876
4909,Paper and Paperboard,1876
4910,Paper and Paperboard,1876
4911,Paper and Paperboard,1876
